Company,Job,Degree,Experience_Level,Years_Experience,Salary_more_than_100k,Salary_K,Employment_Type,Location,Remote_Status,Age,Performance_Rating,Bonus_Percentage,Education_Year,Gender
Snapchat,sales executive,bachelors,senior,12,1,126,full-time,USA,onsite,33,3.6,0.7,2018,Female
Airbnb,devops engineer,phd,lead,17,1,101,full-time,Canada,onsite,39,3.6,6.9,2018,Non-binary
Amazon,HR manager,bachelors,senior,7,0,86,contract,Singapore,onsite,34,2.8,9.2,2023,Non-binary
Twitter,devops engineer,phd,entry,1,1,120,full-time,Singapore,remote,24,3.5,11.3,2023,Female
IBM,devops engineer,phd,senior,12,0,44,part-time,Germany,onsite,34,4.3,1.6,2018,Non-binary
Pinterest,QA engineer,bachelors,mid,6,0,57,full-time,France,remote,27,4.8,5.7,2019,Female
Intel,ML engineer,master,mid,5,1,249,contract,Canada,onsite,31,3.5,5.5,2022,Prefer not to say
PayPal,data scientist,bachelors,mid,6,1,116,part-time,Canada,hybrid,32,4.0,11.7,2020,Male
Pinterest,network engineer,master,senior,8,1,216,full-time,Canada,onsite,28,4.7,6.6,2016,Female
Shopify,ML engineer,master,mid,4,1,238,full-time,Germany,onsite,24,3.3,0.5,2022,Non-binary
Microsoft,cloud architect,phd,entry,0,1,236,full-time,Australia,remote,22,4.1,23.7,2024,Non-binary
Tesla,network engineer,phd,mid,5,0,68,part-time,Germany,remote,32,3.1,0.6,2024,Female
Google,product manager,phd,entry,0,1,184,full-time,France,onsite,21,3.1,16.7,2024,Female
Nvidia,game developer,master,lead,19,1,190,full-time,USA,hybrid,45,3.7,18.2,2003,Male
Intel,fullstack developer,master,entry,2,1,214,full-time,Canada,hybrid,24,3.0,11.6,2024,Prefer not to say
Microsoft,ML engineer,phd,entry,0,0,50,full-time,Australia,hybrid,26,3.7,8.6,2024,Female
Google,HR manager,master,lead,20,1,139,contract,Singapore,hybrid,43,3.0,1.5,2007,Male
Microsoft,data scientist,phd,lead,15,0,43,part-time,Canada,remote,36,2.7,0.7,2017,Prefer not to say
Atlassian,systems analyst,bachelors,entry,2,1,249,part-time,Australia,hybrid,27,3.0,17.9,2023,Non-binary
Meta,backend developer,phd,senior,7,1,102,contract,India,onsite,34,5.0,24.9,2023,Female
Meta,technical writer,bachelors,mid,6,1,239,contract,India,onsite,30,5.0,20.2,2016,Male
ServiceNow,backend developer,bachelors,mid,3,1,241,contract,India,hybrid,25,3.2,5.3,2019,Female
Uber,project manager,master,entry,1,0,42,full-time,France,hybrid,21,4.4,6.4,2022,Female
Airbnb,frontend developer,master,entry,2,1,138,full-time,India,hybrid,22,4.0,3.7,2023,Male
IBM,game developer,bachelors,senior,12,0,46,full-time,UK,onsite,37,4.7,4.1,2020,Female
Zoom,game developer,bachelors,lead,18,1,205,full-time,France,hybrid,41,2.9,17.5,2012,Male
